time,valeur,valeur_lisse
2000-05-01,106.6,87.18916666666667
2000-05-01,69.97,87.315
2000-06-01,87.77,85.84583333333335
2000-06-01,108.1,89.08916666666666
2000-06-01,70.96,87.87166666666667
2000-07-01,107.0,87.96333333333332
2000-07-01,70.23,88.02333333333333
2000-07-01,86.87,88.09750000000001
2000-08-01,70.69,85.105
2000-08-01,87.44,85.17916666666666
2000-08-01,107.7,88.32333333333332
2000-09-01,71.22,87.04583333333333
2000-09-01,88.09,85.50333333333333
2000-09-01,108.5,88.71416666666666
2000-10-01,88.42,88.76833333333333
2000-10-01,108.9,88.835
2000-10-01,71.48,88.87833333333333
2000-11-01,109.2,89.06166666666667
2000-11-01,71.68,89.1825
2000-11-01,88.66,89.33166666666666
2000-12-01,109.4,92.5575
2000-12-01,71.81,91.255
2000-12-01,88.82,89.68166666666667
2001-01-01,70.43,89.61583333333333
2001-01-01,87.12,89.53500000000001
2001-01-01,107.3,89.435
2001-02-01,88.12,89.41000000000001
2001-02-01,108.5,89.37666666666667
2001-02-01,71.24,89.35666666666667
2001-03-01,88.57,87.63749999999999
2001-03-01,109.1,90.75583333333333
2001-03-01,71.6,89.33416666666666
2001-04-01,88.92,87.6275
2001-04-01,71.89,87.63416666666666
2001-04-01,109.5,89.3575
2001-05-01,72.63,89.54083333333334
2001-05-01,110.7,91.50583333333333
2001-05-01,89.84,90.05083333333334
2001-06-01,72.88,88.78083333333335
2001-06-01,111.1,88.9975
2001-06-01,90.15,90.57333333333334
2001-07-01,71.94,89.1875
2001-07-01,109.6,89.22916666666667
2001-07-01,88.99,90.67833333333334
2001-08-01,72.47,89.3075
2001-08-01,110.4,92.51666666666667
2001-08-01,89.64,90.86166666666666
2001-09-01,110.6,94.02583333333332
2001-09-01,89.76,92.28083333333335
2001-09-01,72.57,90.84166666666665
2001-10-01,89.87,92.2575
2001-10-01,110.7,92.22416666666668
2001-10-01,72.65,90.76583333333333
2001-11-01,89.92,92.26416666666667
2001-11-01,110.8,92.36416666666668
2001-11-01,72.7,91.00666666666666
2001-12-01,110.4,94.1675
2001-12-01,72.47,91.00666666666666
2001-12-01,89.63,91.00583333333334
2002-01-01,71.96,87.78583333333334
2002-01-01,89.01,87.72333333333334
2002-01-01,109.6,90.80916666666667
2002-02-01,72.8,89.38666666666666
2002-02-01,90.05,87.66583333333334
2002-02-01,110.9,90.85333333333334
2002-03-01,72.85,89.43083333333334
2002-03-01,111.0,89.4475
2002-03-01,90.11,90.89833333333333
2002-04-01,111.7,91.00666666666666
2002-04-01,90.64,92.52083333333333
2002-04-01,73.28,91.15833333333335
2002-05-01,112.1,94.50333333333333
2002-05-01,90.98,94.6675
2002-05-01,73.55,91.66333333333334
2002-06-01,112.4,94.96333333333335
2002-06-01,91.25,95.06333333333333
2002-06-01,73.77,91.96916666666668
2002-07-01,111.7,95.20666666666666
2002-07-01,90.69,93.51416666666665
2002-07-01,73.32,92.11500000000001
2002-08-01,112.7,92.19833333333332
2002-08-01,73.93,90.80583333333334
2002-08-01,91.45,92.32
2002-09-01,74.19,89.16083333333334
2002-09-01,91.76,89.22583333333334
2002-09-01,113.0,92.51333333333334
2002-10-01,74.5,89.355
2002-10-01,92.15,89.43
2002-10-01,113.5,92.74083333333334
2002-11-01,92.28,91.1225
2002-11-01,113.7,93.04
2002-11-01,74.61,93.1475
2002-12-01,113.5,93.21416666666666
2002-12-01,74.49,93.26083333333332
2002-12-01,92.13,93.31750000000001
2003-01-01,113.2,96.56833333333334
2003-01-01,74.29,95.11250000000001
2003-01-01,91.89,93.35333333333334
2003-02-01,114.5,96.68666666666667
2003-02-01,92.93,96.75166666666667
2003-02-01,75.13,93.55416666666667
2003-03-01,93.42,93.64916666666666
2003-03-01,75.53,90.46833333333332
2003-03-01,115.1,93.84250000000002
2003-04-01,93.27,92.15666666666668
2003-04-01,75.41,92.23333333333333
2003-04-01,114.9,94.13083333333334
2003-05-01,93.1,92.45583333333333
2003-05-01,75.27,92.53750000000001
2003-05-01,114.7,94.43833333333333
2003-06-01,93.09,92.65416666666665
2003-06-01,75.26,91.18166666666667
2003-06-01,114.7,94.47916666666667
2003-07-01,74.72,92.92083333333333
2003-07-01,113.9,96.11833333333334
2003-07-01,92.43,94.22916666666667
2003-08-01,115.3,96.065
2003-08-01,75.64,96.08416666666666
2003-08-01,93.56,94.30583333333334
2003-09-01,116.0,96.21416666666666
2003-09-01,76.13,96.28583333333334
2003-09-01,94.17,94.57499999999999
2003-10-01,75.79,93.13333333333334
2003-10-01,93.75,94.67416666666668
2003-10-01,115.5,94.74083333333334
2003-11-01,94.17,96.36166666666666
2003-11-01,116.0,96.53666666666668
2003-11-01,76.13,95.17833333333334
2003-12-01,94.35,93.4325
2003-12-01,116.2,96.8125
2003-12-01,76.28,95.3725
2004-01-01,94.03,93.54166666666667
2004-01-01,76.02,93.53249999999998
2004-01-01,115.8,95.335
2004-02-01,76.98,95.43416666666666
2004-02-01,95.22,95.55666666666666
2004-02-01,117.3,95.70666666666666
2004-03-01,77.05,94.28000000000002
2004-03-01,95.3,92.55499999999999
2004-03-01,117.4,95.99416666666667
2004-04-01,95.77,96.1125
2004-04-01,118.0,96.2625
2004-04-01,77.43,96.35833333333333
2004-05-01,118.7,98.41416666666667
2004-05-01,77.87,98.56833333333333
2004-05-01,96.32,96.945
2004-06-01,119.2,100.46333333333332
2004-06-01,78.21,99.04583333333333
2004-06-01,96.73,97.33166666666666
2004-07-01,77.55,97.37333333333333
2004-07-01,95.92,97.42500000000001
2004-07-01,118.2,97.49166666666667
2004-08-01,96.95,97.58999999999999
2004-08-01,119.4,97.70666666666666
2004-08-01,78.38,97.78583333333334
2004-09-01,97.1,95.98583333333333
2004-09-01,119.6,99.46333333333332
2004-09-01,78.5,97.97833333333334
2004-10-01,120.2,98.06166666666667
2004-10-01,78.87,98.11666666666667
2004-10-01,97.55,98.185
2004-11-01,79.15,98.31833333333333
2004-11-01,97.9,98.48333333333333
2004-11-01,120.6,98.68333333333332
2004-12-01,78.94,97.1825
2004-12-01,97.64,95.36916666666667
2004-12-01,120.3,98.8625
2005-01-01,78.15,97.28333333333335
2005-01-01,119.1,97.24166666666667
2005-01-01,96.67,98.75583333333334
2005-02-01,121.1,98.83083333333333
2005-02-01,98.34,100.45333333333332
2005-02-01,79.51,98.94999999999999
2005-03-01,121.5,102.47916666666667
2005-03-01,98.61,102.53833333333334
2005-03-01,79.72,99.13166666666667
2005-04-01,122.5,102.76166666666667
2005-04-01,99.42,102.90999999999998
2005-04-01,80.37,99.5825
2005-05-01,123.0,103.32
2005-05-01,99.87,101.71749999999999
2005-05-01,80.74,100.38999999999999
2005-06-01,99.82,98.61666666666667
2005-06-01,80.7,97.14666666666666
2005-06-01,123.0,100.77083333333333
2005-07-01,80.62,97.36416666666668
2005-07-01,99.72,97.45666666666666
2005-07-01,122.8,101.04666666666667
2005-08-01,81.72,97.64833333333333
2005-08-01,101.08,97.78666666666668
2005-08-01,124.5,101.46416666666666
2005-09-01,101.62,99.6825
2005-09-01,125.2,101.79333333333334
2005-09-01,82.16,101.91166666666668
2005-10-01,126.2,104.11
2005-10-01,82.82,104.28666666666668
2005-10-01,102.44,102.57333333333334
2005-11-01,124.9,106.26333333333334
2005-11-01,81.97,104.78416666666665
2005-11-01,101.39,103.0
2005-12-01,124.4,106.55666666666667
2005-12-01,101.02,106.55166666666668
2005-12-01,81.67,102.9825
2006-01-01,100.63,102.89999999999999
2006-01-01,124.0,102.8
2006-01-01,81.35,102.7325
2006-02-01,102.13,100.72666666666667
2006-02-01,125.8,104.30833333333334
2006-02-01,82.57,102.65249999999999
2006-03-01,126.0,102.74416666666666
2006-03-01,82.71,102.80583333333334
2006-03-01,102.31,102.8825
2006-04-01,83.11,99.44166666666666
2006-04-01,102.81,99.59083333333332
2006-04-01,126.6,103.335
2006-05-01,83.62,101.9175
2006-05-01,103.43,100.20333333333333
2006-05-01,127.4,104.04083333333334
2006-06-01,103.7,104.17166666666667
2006-06-01,127.7,104.33
2006-06-01,83.84,104.43583333333333
2006-07-01,127.0,104.51916666666666
2006-07-01,83.33,104.57083333333333
2006-07-01,103.08,104.635
2006-08-01,128.4,108.40916666666665
2006-08-01,84.26,106.86333333333334
2006-08-01,104.23,104.99916666666668
2006-09-01,83.8,105.01416666666667
2006-09-01,103.65,105.03249999999998
2006-09-01,127.7,105.0575
2006-10-01,103.08,105.00583333333333
2006-10-01,127.0,104.94749999999999
2006-10-01,83.34,104.90583333333335
2006-11-01,103.19,102.92166666666668
2006-11-01,127.1,106.56916666666666
2006-11-01,83.43,104.93166666666667
2006-12-01,103.28,102.83833333333335
2006-12-01,83.5,102.77499999999999
2006-12-01,127.2,104.68916666666668
2007-01-01,83.22,104.64083333333333
2007-01-01,126.8,106.57000000000001
2007-01-01,102.93,104.50583333333333
2007-02-01,84.09,102.92333333333335
2007-02-01,128.1,103.015
2007-02-01,104.01,104.7375
2007-03-01,84.66,103.19333333333333
2007-03-01,129.0,103.35166666666667
2007-03-01,104.72,105.12583333333333
2007-04-01,85.15,103.61500000000001
2007-04-01,129.8,107.47333333333334
2007-04-01,105.33,105.65083333333332
2007-05-01,85.52,105.84250000000002
2007-05-01,105.79,104.09166666666665
2007-05-01,130.3,106.37250000000002
2007-06-01,106.04,108.20166666666667
2007-06-01,130.6,108.41000000000001
2007-06-01,85.73,106.88666666666667
2007-07-01,105.19,108.59750000000001
2007-07-01,129.6,108.6475
2007-07-01,85.04,107.0075
2007-08-01,130.8,110.81166666666668
2007-08-01,85.83,107.1475
2007-08-01,106.17,107.21750000000002
2007-09-01,85.89,107.24833333333333
2007-09-01,106.24,107.28583333333334
2007-09-01,130.9,107.33583333333335
2007-10-01,86.35,105.695
2007-10-01,106.81,103.71249999999999
2007-10-01,131.6,107.53500000000001
2007-11-01,86.77,106.0
2007-11-01,132.2,106.21666666666665
2007-11-01,107.33,108.07416666666667
2007-12-01,132.7,108.2325
2007-12-01,87.09,108.33749999999999
2007-12-01,107.73,108.46750000000002
2008-01-01,132.1,112.31833333333333
2008-01-01,86.71,110.69083333333333
2008-01-01,107.26,108.72083333333332
2008-02-01,87.58,108.82333333333332
2008-02-01,108.34,108.95083333333334
2008-02-01,133.5,109.10916666666667
2008-03-01,109.3,110.98666666666666
2008-03-01,134.6,111.18666666666665
2008-03-01,88.37,109.60666666666667
2008-04-01,109.81,107.69916666666666
2008-04-01,135.3,111.71666666666665
2008-04-01,88.78,110.13749999999999
2008-05-01,136.6,110.5125
2008-05-01,89.66,110.75833333333333
2008-05-01,110.91,111.0625
2008-06-01,90.31,111.29
2008-06-01,111.7,111.57
2008-06-01,137.6,111.91166666666668
2008-07-01,89.97,110.30083333333333
2008-07-01,111.29,108.35833333333335
2008-07-01,137.1,112.41916666666667
2008-08-01,111.28,112.54166666666667
2008-08-01,137.1,112.69166666666668
2008-08-01,89.97,112.79083333333334
2008-09-01,137.2,112.84083333333332
2008-09-01,90.05,112.87333333333333
2008-09-01,111.38,112.91250000000001
2008-10-01,136.7,116.77833333333335
2008-10-01,89.68,114.94333333333333
2008-10-01,110.93,112.72083333333332
2008-11-01,134.9,116.46500000000002
2008-11-01,109.47,116.31333333333332
2008-11-01,88.51,112.26416666666667
2008-12-01,108.49,112.03166666666668
2008-12-01,87.71,107.91583333333334
2008-12-01,133.6,111.55166666666668
2009-01-01,107.26,109.05666666666667
2009-01-01,86.71,108.77833333333335
2009-01-01,132.1,110.505
2009-02-01,109.15,108.20916666666669
2009-02-01,88.24,108.08916666666669
2009-02-01,134.5,110.05333333333333
2009-03-01,109.0,107.89499999999998
2009-03-01,88.13,106.11666666666667
2009-03-01,134.3,109.93249999999999
2009-04-01,88.55,108.27083333333331
2009-04-01,134.9,112.20333333333333
2009-04-01,109.53,110.19749999999999
2009-05-01,135.3,112.53416666666665
2009-05-01,88.82,112.71
2009-05-01,109.86,110.85666666666667
2009-06-01,136.3,113.11916666666666
2009-06-01,89.42,113.21749999999999
2009-06-01,110.61,111.22666666666667
2009-07-01,88.63,109.52916666666665
2009-07-01,109.63,111.32083333333333
2009-07-01,135.1,111.3875
2009-08-01,111.07,113.26416666666667
2009-08-01,136.8,113.4225
2009-08-01,89.8,111.77833333333332
2009-09-01,110.91,109.74583333333334
2009-09-01,136.6,113.7275
2009-09-01,89.66,112.04416666666667
2009-10-01,110.71,109.91166666666668
2009-10-01,89.51,109.91916666666667
2009-10-01,136.4,112.06833333333334
2009-11-01,90.01,112.18333333333334
2009-11-01,137.1,114.47250000000001
2009-11-01,111.33,112.49166666666666
2009-12-01,89.91,110.72833333333334
2009-12-01,137.0,110.745
2009-12-01,111.21,112.52916666666668
2010-01-01,89.33,110.73083333333334
2010-01-01,136.1,110.68916666666667
2010-01-01,110.49,112.425
2010-02-01,90.27,110.72166666666665
2010-02-01,137.6,114.72916666666667
2010-02-01,111.66,112.66749999999998
2010-03-01,90.92,112.74333333333333
2010-03-01,112.46,110.69
2010-03-01,138.5,112.95416666666667
2010-04-01,112.94,114.87333333333333
2010-04-01,91.31,111.06583333333333
